procedure;type_torg;id_price;moscow;category;param
9;-1;1;0;1;0,87
9;-1;1;1;1;0,7
9;-1;1;0;2;1,62
9;-1;1;1;2;0,75
9;-1;1;0;3;0,87
9;-1;1;1;3;0,74
9;-1;1;0;4;0,66
9;-1;1;1;4;0,47
9;-1;1;0;5;1,54
9;-1;1;1;5;0,98
9;-1;1;0;6;1,11
9;-1;1;1;6;1,11
9;-1;1;0;7;0,67
9;-1;1;1;7;0,72
9;-1;1;0;8;0,69
9;-1;1;1;8;0,82
9;-1;1;0;10;0,67
9;-1;1;1;10;0,55
9;-1;1;0;21;0,59
9;-1;1;1;21;0,59
9;-1;1;0;22;0,56
9;-1;1;1;22;0,56
9;-1;1;0;23;0,59
9;-1;1;1;23;0,67
9;-1;1;0;27;0,62
9;-1;1;1;27;0,53
9;-1;2;0;1;0,69
9;-1;2;1;1;0,6
9;-1;2;0;2;0,55
9;-1;2;1;2;0,49
9;-1;2;0;3;0,74
9;-1;2;1;3;0,7
9;-1;2;0;4;0,63
9;-1;2;1;4;0,68
9;-1;2;0;5;0,73
9;-1;2;1;5;0,77
9;-1;2;0;6;0,71
9;-1;2;1;6;0,64
9;-1;2;0;7;0,58
9;-1;2;1;7;0,35
9;-1;2;0;8;0,42
9;-1;2;1;8;0,6
9;-1;2;0;10;0,57
9;-1;2;1;10;0,48
9;-1;2;0;21;0,28
9;-1;2;1;21;0,28
9;-1;2;0;22;1,02
9;-1;2;1;22;1,02
9;-1;2;0;23;0,52
9;-1;2;1;23;0,47
9;-1;2;0;27;0,37
9;-1;2;1;27;0,37
9;-1;3;0;1;0,73
9;-1;3;1;1;0,71
9;-1;3;0;2;0,39
9;-1;3;1;2;0,61
9;-1;3;0;3;0,67
9;-1;3;1;3;0,68
9;-1;3;0;4;0,63
9;-1;3;1;4;0,56
9;-1;3;0;5;0,68
9;-1;3;1;5;0,81
9;-1;3;0;6;0,62
9;-1;3;1;6;0,64
9;-1;3;0;7;0,59
9;-1;3;1;7;0,69
9;-1;3;0;8;0,48
9;-1;3;1;8;0,56
9;-1;3;0;10;0,54
9;-1;3;1;10;0,46
9;-1;3;0;21;0,83
9;-1;3;1;21;0,83
9;-1;3;0;22;0,74
9;-1;3;1;22;0,74
9;-1;3;0;23;0,47
9;-1;3;1;23;0,51
9;-1;3;0;27;0,31
9;-1;3;1;27;0,27
9;-1;4;0;1;0,75
9;-1;4;1;1;0,7
9;-1;4;0;2;0,56
9;-1;4;1;2;0,4
9;-1;4;0;3;0,64
9;-1;4;1;3;0,62
9;-1;4;0;4;0,57
9;-1;4;1;4;0,92
9;-1;4;0;5;0,63
9;-1;4;1;5;0,69
9;-1;4;0;6;0,72
9;-1;4;1;6;0,7
9;-1;4;0;7;0,54
9;-1;4;1;7;0,71
9;-1;4;0;8;0,5
9;-1;4;1;8;0,57
9;-1;4;0;10;0,5
9;-1;4;1;10;0,45
9;-1;4;0;21;0,59
9;-1;4;1;21;0,59
9;-1;4;0;22;0,58
9;-1;4;1;22;0,58
9;-1;4;0;23;0,43
9;-1;4;1;23;0,41
9;-1;4;0;27;0,23
9;-1;4;1;27;0,24
9;-1;5;0;1;0,7
9;-1;5;1;1;0,66
9;-1;5;0;2;0,55
9;-1;5;1;2;0,55
9;-1;5;0;3;0,67
9;-1;5;1;3;0,6
9;-1;5;0;4;0,61
9;-1;5;1;4;0,75
9;-1;5;0;5;0,58
9;-1;5;1;5;0,65
9;-1;5;0;6;0,76
9;-1;5;1;6;0,71
9;-1;5;0;7;0,57
9;-1;5;1;7;0,75
9;-1;5;0;8;0,51
9;-1;5;1;8;0,53
9;-1;5;0;10;0,52
9;-1;5;1;10;0,38
9;-1;5;0;21;0,87
9;-1;5;1;21;0,87
9;-1;5;0;22;0,5
9;-1;5;1;22;0,5
9;-1;5;0;23;0,39
9;-1;5;1;23;0,49
9;-1;5;0;27;0,21
9;-1;5;1;27;0,23
9;-1;6;0;1;0,7
9;-1;6;1;1;0,77
9;-1;6;0;2;0,63
9;-1;6;1;2;0,63
9;-1;6;0;3;0,67
9;-1;6;1;3;0,62
9;-1;6;0;4;0,66
9;-1;6;1;4;0,52
9;-1;6;0;5;0,61
9;-1;6;1;5;0,58
9;-1;6;0;6;0,8
9;-1;6;1;6;0,79
9;-1;6;0;7;0,57
9;-1;6;1;7;0,63
9;-1;6;0;8;0,49
9;-1;6;1;8;0,45
9;-1;6;0;10;0,5
9;-1;6;1;10;0,36
9;-1;6;0;21;0,77
9;-1;6;1;21;0,77
9;-1;6;0;22;1,05
9;-1;6;1;22;1,05
9;-1;6;0;23;0,34
9;-1;6;1;23;0,52
9;-1;6;0;27;0,18
9;-1;6;1;27;0,19
9;-1;7;0;1;0,65
9;-1;7;1;1;0,53
9;-1;7;0;2;0,34
9;-1;7;1;2;0,34
9;-1;7;0;3;0,7
9;-1;7;1;3;0,47
9;-1;7;0;4;0,55
9;-1;7;1;4;0,55
9;-1;7;0;5;0,55
9;-1;7;1;5;0,49
9;-1;7;0;6;0,76
9;-1;7;1;6;0,68
9;-1;7;0;7;0,59
9;-1;7;1;7;0,63
9;-1;7;0;8;0,5
9;-1;7;1;8;0,47
9;-1;7;0;10;0,48
9;-1;7;1;10;0,32
9;-1;7;0;21;0,49
9;-1;7;1;21;0,49
9;-1;7;0;22;0,83
9;-1;7;1;22;0,83
9;-1;7;0;23;0,28
9;-1;7;1;23;0,3
9;-1;7;0;27;0,18
9;-1;7;1;27;0,11
9;-1;8;0;1;0,62
9;-1;8;1;1;0,61
9;-1;8;0;2;0,85
9;-1;8;1;2;0,85
9;-1;8;0;3;0,52
9;-1;8;1;3;0,45
9;-1;8;0;4;0,47
9;-1;8;1;4;0,59
9;-1;8;0;5;0,47
9;-1;8;1;5;0,54
9;-1;8;0;6;0,64
9;-1;8;1;6;0,72
9;-1;8;0;7;0,59
9;-1;8;1;7;0,6
9;-1;8;0;8;0,45
9;-1;8;1;8;0,39
9;-1;8;0;10;0,4
9;-1;8;1;10;0,33
9;-1;8;0;21;0,95
9;-1;8;1;21;0,95
9;-1;8;0;22;0,84
9;-1;8;1;22;0,84
9;-1;8;0;23;0,41
9;-1;8;1;23;0,4
9;-1;8;0;27;0,1
9;-1;8;1;27;0,1
9;1;1;0;1;2,12
9;1;1;0;2;1,2
9;1;1;0;3;1,93
9;1;1;0;4;1,56
9;1;1;0;5;1,6
9;1;1;0;6;1,74
9;1;1;0;7;1,8
9;1;1;0;8;1,48
9;1;1;0;10;1,63
9;1;1;0;21;1,8
9;1;1;0;22;1,62
9;1;1;0;23;1,67
9;1;1;0;27;1,67
9;1;2;0;1;1,62
9;1;2;0;2;1,97
9;1;2;0;3;1,85
9;1;2;0;4;1,69
9;1;2;0;5;1,72
9;1;2;0;6;1,72
9;1;2;0;7;1,61
9;1;2;0;8;1,61
9;1;2;0;10;1,44
9;1;2;0;21;2,25
9;1;2;0;22;1,42
9;1;2;0;23;1,34
9;1;2;0;27;1,56
9;1;3;0;1;1,29
9;1;3;0;2;1,2
9;1;3;0;3;1,51
9;1;3;0;4;1,4
9;1;3;0;5;1,44
9;1;3;0;6;1,28
9;1;3;0;7;1,31
9;1;3;0;8;1,48
9;1;3;0;10;1,25
9;1;3;0;21;1,32
9;1;3;0;22;1,33
9;1;3;0;23;1,42
9;1;3;0;27;1,44
9;1;4;0;1;1,25
9;1;4;0;2;1,3
9;1;4;0;3;1,45
9;1;4;0;4;1,32
9;1;4;0;5;1,48
9;1;4;0;6;1,23
9;1;4;0;7;1,53
9;1;4;0;8;1,39
9;1;4;0;10;1,44
9;1;4;0;21;1,13
9;1;4;0;22;1,2
9;1;4;0;23;1,24
9;1;4;0;27;1,47
9;1;5;0;1;1,19
9;1;5;0;2;2,08
9;1;5;0;3;1,34
9;1;5;0;4;1,23
9;1;5;0;5;1,52
9;1;5;0;6;1,14
9;1;5;0;7;1,39
9;1;5;0;8;1,5
9;1;5;0;10;1,34
9;1;5;0;21;1,31
9;1;5;0;22;1,18
9;1;5;0;23;1,41
9;1;5;0;27;1,46
9;1;6;0;1;1,16
9;1;6;0;2;1,88
9;1;6;0;3;1,2
9;1;6;0;4;1,2
9;1;6;0;5;1,78
9;1;6;0;6;1,14
9;1;6;0;7;1,42
9;1;6;0;8;1,38
9;1;6;0;10;1,23
9;1;6;0;21;1,03
9;1;6;0;22;1,2
9;1;6;0;23;1,22
9;1;6;0;27;1,23
9;1;7;0;1;1,11
9;1;7;0;2;1,2
9;1;7;0;3;1,13
9;1;7;0;4;1,15
9;1;7;0;5;1,11
9;1;7;0;6;1,13
9;1;7;0;7;1,23
9;1;7;0;8;1,4
9;1;7;0;10;1,41
9;1;7;0;21;1,06
9;1;7;0;22;1,09
9;1;7;0;23;1,06
9;1;7;0;27;1,19
9;1;8;0;1;1,1
9;1;8;0;2;1,1
9;1;8;0;3;1,14
9;1;8;0;4;1,02
9;1;8;0;5;1,91
9;1;8;0;6;1,14
9;1;8;0;7;1,32
9;1;8;0;8;1,35
9;1;8;0;10;1,21
9;1;8;0;21;1,08
9;1;8;0;22;1,02
9;1;8;0;23;1,08
9;1;8;0;27;1,3
9;1;1;1;1;1,73
9;1;1;1;2;1,55
9;1;1;1;3;1,7
9;1;1;1;4;1,38
9;1;1;1;5;1,59
9;1;1;1;6;1,73
9;1;1;1;7;1,15
9;1;1;1;8;1,94
9;1;1;1;10;1,92
9;1;1;1;21;1,8
9;1;1;1;22;1,62
9;1;1;1;23;2,67
9;1;1;1;27;1,83
9;1;2;1;1;1,65
9;1;2;1;2;1,97
9;1;2;1;3;1,5
9;1;2;1;4;1,2
9;1;2;1;5;1,55
9;1;2;1;6;1,69
9;1;2;1;7;1,7
9;1;2;1;8;1,48
9;1;2;1;10;1,5
9;1;2;1;21;2,25
9;1;2;1;22;1,42
